Kodas,EAN,Likutis
5908426,5904165687500,1
5908427,5904165687517,0
5903529,5904165684417,5
5910901,5904165689337,5
787560,5904165682048,5
787561,5904165682055,0
787562,5904165681768,1
787563,5904165681775,1
787564,5904165682062,15
5903491,5904165684332,1
5903492,5904165684349,5
5903493,5904165684356,1
5903494,5904165684363,5
5903495,5904165684370,5
5903498,5904165684394,0
5903499,5904165684400,1
5906649,5904165685278,0
5906651,5904165685285,5
5906653,5904165685292,1
5906654,5904165685308,15
5906655,5904165685315,1
5906656,5904165685322,0
5908417,5904165687623,1
5908418,5904165687630,0
5908419,5904165687647,5
5908420,5904165687654,5
5908421,5904165687661,5
5910896,5904165689306,1
5910898,5904165689313,0
5910900,5904165689320,1
5911990,5907001940036,1
5911991,5907001940043,5
5914781,5907001941712,15
5914782,5907001941729,15
5914783,5907001941705,15
5914784,5907001941699,15
5914785,5907001941255,5
5914786,5907001941262,15
5907765,5904165685919,1
5907766,5904165685926,1
5907767,5904165685933,1
5907768,5904165685940,5
5908423,5904165687470,1
5908424,5904165687487,5
5914787,5907001941675,15
5914840,5907001941682,15
783470,5904165680334,1
5906910,5904165685728,0
5906911,5904165685575,0
5906912,5904165685735,0
5906913,5904165685742,0
22009,5901571374581,0
6455,5901571374659,0
763440,5901571374666,0
790026,5904165683168,0
782596,5902605479517,0
5911410,5904165688033,1
5911411,5904165688040,0
5911412,5904165688224,1
5914470,5904165687524,1
5914471,5904165687531,1
5905637,5904165685070,0
789905,5904165683144,0
5914820,5907001941941,1
5914639,5907001942054,1
5914641,5907001942061,1
5911819,5907001940692,1
5911820,5907001940708,1
5912813,5907001940715,1
5914650,5907001942139,1
5914646,5907001942146,1
5903476,5907001940661,1
790588,5904165683557,0
5908347,5904165686817,0
5909795,5904165688637,0
5913142,5907001940982,0
5913143,5907001940999,1
5913144,5907001941118,1
5913145,5907001941125,1
5909180,5907001940722,1
5908348,5907001940739,0
5908349,5907001940746,1
5908350,5907001940753,1
5908351,5907001940760,1
5908352,5907001940777,1
5908353,5907001940784,0
5906914,5907001940593,1
5906915,5907001940609,1
5906916,5907001940616,1
5906917,5907001940623,1
5908354,5907001940630,1
5908355,5907001940647,1
5908356,5907001940654,0
5903478,5907001940685,0
5911821,5907001940791,1
5911822,5907001940807,1
5911823,5907001940814,1
779603,5902605478664,0
779604,5902605478671,0
779605,5902605478688,0
5913504,5907001941316,0
5913505,5907001941323,0
5913506,5907001941330,0
5913507,5907001941347,0
5903479,5904165684608,0
5903480,5904165684622,0
5913508,5901571377179,0
5913509,5907001940005,0
5913510,5907001940012,0
5913511,5904165686046,0
5913512,5904165686053,1
5913513,5904165686060,1
5913514,5904165687364,0
5911513,5904165688125,0
5911514,5904165688156,0
5911515,5904165688163,0
5911516,5904165688170,0
5911538,5904165688132,0
5911539,5904165688149,0
5914821,5907001941965,1
5914822,5907001942221,1
5914933,5907001942238,1
5914823,5907001942177,1
5914824,5907001942184,1
5905527,5904165684615,1
5910721,5904165684639,0
5905528,5904165684653,0
5903481,5904165684646,0
5912187,5907001940265,0
5912188,5907001940272,0
5912189,5907001940289,0
5911824,5901571372693,0
5911825,5901571372761,1
5911826,5901571374338,0
5913515,5907001941002,0
5913516,5907001941019,0
5913517,5907001941132,0
5913518,5907001941149,0
5909579,5904165688613,0
5909580,5904165688057,0
5912190,5904165688187,0
5909581,5904165688064,0
5909582,5904165688071,0
5912191,5904165688200,0
