Kodas,EAN,stock_local,stock_supplier_fast,stock_supplier_slow,total_stock
4285,5710409107549,0,23,0,23
4286,5710409107556,0,88,0,88
4287,5710409107563,0,643,0,643
4292,5710409108065,0,0,0,0
4293,5710409108072,0,5,0,5
42P6317,5055166356473,0,4,0,4
42P6319,5055166356497,0,3,0,3
42P6320,5055166356503,0,0,0,0
42P6321,5055166356510,0,10,0,10
42P6322,5055166356527,0,15,0,15
42P6327,5055166356572,0,8,0,8
42P6328,5055166356589,0,9,0,9
42P6329,5055166356596,0,7,0,7
42P6330,5055166356602,0,1,0,1
42P6331,5055166356619,0,31,0,31
42P6335,5055166356657,0,4,0,4
42P6336,5055166356664,0,3,0,3
42P6337,5055166356671,0,9,0,9
42P6338,5055166356688,0,3,0,3
42P6340,5055166356701,0,30,0,30
42P6342,5055166356725,0,13,0,13
42P6351,5055166356817,0,9,0,9
42P6354,5055166356848,0,1,0,1
42P6357,5055166356879,0,29,0,29
42P6358,5055166356886,0,7,0,7
42P6359,5055166356893,0,5,0,5
4304,5710409108607,0,34,0,34
4305,5710409108614,0,64,0,64
4310,5710409108713,0,711,0,711
4315,5710409108799,0,81,0,81
4316,5710409108805,0,105,0,105
4322,5710409109994,0,133,0,133
4323,5710409110006,0,173,0,173
4324,5710409110013,0,459,0,459
4325,5710409110020,0,71,0,71
4326,5710409110037,0,104,0,104
4327,5710409110044,0,123,0,123
4329,5710409110068,0,81,0,81
4331,5710409110280,0,14,0,14
4334,5710409110433,0,12,0,12
4337,5710409110464,0,19,0,19
4338,5710409110501,0,254,0,254
4339,5710409110518,0,60,0,60
4340,5710409110525,0,308,0,308
4341,5710409110532,0,98,0,98
4342,5710409111041,0,73,0,73
4343,5710409111058,0,82,0,82
4346,5710409111430,0,23,0,23
4351,5710409111485,0,42,0,42
4372,5907556800229,0,0,15,15
4375,5906453408149,0,0,5,5
4390,5710409112277,0,36,0,36
4391,5710409112284,0,37,0,37
4392,5710409112291,0,36,0,36
4393,5710409112307,0,36,0,36
4394,5710409112314,0,31,0,31
4397,5710409202282,0,17,0,17
4398,5710409202299,0,35,0,35
4399,5710409202305,0,38,0,38
43P6361,5055166356916,0,5,0,5
43P6363,5055166356930,0,24,0,24
43P6364,5055166356947,0,5,0,5
43P6374,5055166357043,0,9,0,9
43P6375,5055166357050,0,3,0,3
43P6376,5055166357067,0,5,0,5
43P6377,5055166357074,0,10,0,10
43P6385,5055166357159,0,11,0,11
43P6386,5055166357166,0,29,0,29
43P6387,5055166357173,0,35,0,35
43P6388,5055166357180,0,16,0,16
43P6389,5055166357197,0,36,0,36
43P6394,5055166357241,0,24,0,24
43P6396,5055166357265,0,6,0,6
43P6397,5055166357272,0,58,0,58
43P6398,5055166357289,0,38,0,38
43P6399,5055166357296,0,15,0,15
43P6400,5055166357302,0,30,0,30
43P6401,5055166357319,0,64,0,64
43P6402,5055166357326,0,70,0,70
43P6404,5055166357340,0,66,0,66
43P6406,5055166357364,0,5,0,5
43P6407,5055166357371,0,27,0,27
43P6408,5055166357388,0,0,0,0
43P6409,5055166357395,0,1,0,1
4400,5710409202312,0,38,0,38
4401,5710409202336,0,6,0,6
4410,5710409113120,0,4,0,4
4411,5710409113168,0,36,0,36
4426,5710409113540,0,31,0,31
4431,5901436568025,0,0,1,1
4432,5907644016006,0,0,15,15
